,Datetime,Text,clean_text,label
1522,2022-09-08 03:44:43+00:00,@Askrlfess Cacar monyet,Cacar monyet,neutral
1526,2022-09-08 03:28:06+00:00,@RottingOldWreck Klu kena cacar monyet,Klu kena cacar monyet,neutral
1534,2022-09-08 00:33:53+00:00,@simplynaa2 kasian duitnya abis ini kena cacar monyet,kasian duitnya abis ini kena cacar monyet,neutral
1535,2022-09-07 22:33:10+00:00,"@CNNIndonesia Semoga tidak menyusul naiknya penderita ""cacar monyet"" kelak",Semoga tidak menyusul naiknya penderita cacar monyet kelak,neutral
1537,2022-09-07 16:27:34+00:00,"@__nisrinafsh @nov_sunshine Yg dosa tu elu, sok2an open maindid jadi bani pelangi. Pas bener kena azab cacar monyet.",nisrinafsh sunshine dosa elu sok2an open maindid jadi bani pelangi Pas bener kena azab cacar monyet,neutral
1538,2022-09-07 16:26:24+00:00,@__nisrinafsh @nov_sunshine Kerak neraka. Pasien cacar monyet. Sampah masyarakat. Anjing kumpeni.,nisrinafsh sunshine Kerak neraka Pasien cacar monyet Sampah masyarakat Anjing kumpeni,neutral
1539,2022-09-07 16:07:29+00:00,@NoOneKnowZeeke Wah kirain cacar monyet bg,Wah kirain cacar monyet,neutral
1542,2022-09-07 15:32:36+00:00,"udah covid, dateng cacar monyet, dan HIV lagi naik juga. paling bener tidur aja udah gausah aneh aneh.",udah covid dateng cacar monyet dan HIV lagi naik juga paling bener tidur aja udah gausah aneh aneh,neutral
1543,2022-09-07 15:19:27+00:00,AS Rekod 20k Cacar Monyet Tertinggi Di Dunia,Rekod 20k Cacar Monyet Tertinggi Dunia,neutral
1544,2022-09-07 14:46:19+00:00,"@sumurpantau @WatchmenID @hasalikanj Hiih dah. Apalagi pas dialog “Penyakit cacar monyet udah sampe di negeri seberang”. Komedi ger ger ger, kada tahan handak tetawa 🫠",Hiih dah Apalagi pas dialog Penyakit cacar monyet udah sampe negeri seberang Komedi ger ger ger kada tahan handak tetawa,neutral
1547,2022-09-07 13:21:34+00:00,temen aing tiba tiba banget siah bilang takut cacar monyet,temen aing tiba tiba banget siah bilang takut cacar monyet,neutral
1548,2022-09-07 11:54:19+00:00,@andinipratiwi0 GK takut lu kena cacar monyet,takut kena cacar monyet,neutral
1549,2022-09-07 11:39:55+00:00,"Coba kalo udah nikah, 24/7 bareng ngga 24 juga tapi setiap hari ketemu dan mau ngomongin hal berat kayak kenapa bbm naik dan perkembangan cacar monyet, yang ada setelah pulang kerja bukannya istirahat tapi tetep nggiling terus otaknya. Wkwkw",Coba kalo udah nikah bareng ngga juga tapi setiap hari ketemu dan mau ngomongin hal berat kayak kenapa bbm naik dan perkembangan cacar monyet yang ada setelah pulang kerja bukannya istirahat tapi tetep nggiling terus otaknya Wkwkw,neutral
1550,2022-09-07 10:40:48+00:00,"@convomfs cacar monyet, covid masih ada btw, rusia ukraina, banyak sebetulnya",cacar monyet covid masih ada btw rusia ukraina banyak sebetulnya,neutral
1553,2022-09-07 09:58:21+00:00,@Saturnmoonsw Jauh jaun lah cacar monyet kan?,Jauh jaun lah cacar monyet kan,neutral
1561,2022-09-07 07:39:15+00:00,Waktu ngomong cacar monyet knp gw ngakak anj🤣,Waktu ngomong cacar monyet knp ngakak anj,neutral
1564,2022-09-07 07:14:47+00:00,"@arkreedjal @f1_tawan @ademaupsilon @24434accepted_ @sosmedkeras Serem emang hiv sama cacar monyet normal buat mereka, ihhhh takut.",tawan Serem emang hiv sama cacar monyet normal buat mereka ihhhh takut,positive
1565,2022-09-07 07:04:26+00:00,@VIVAcoid Bentar lg cacar monyet mewabah,Bentar cacar monyet mewabah,neutral
1573,2022-09-07 05:00:52+00:00,@mutiarapg Cacar monyet?,Cacar monyet,neutral
1576,2022-09-07 04:27:54+00:00,Mienya kena cacar monyet,Mienya kena cacar monyet,neutral
1577,2022-09-07 04:23:51+00:00,"Wong cilik menjerit...
Pada joget sikok bagi 2
Pada nyanyi selamat ulang taon
Semoga yg nyanyi n joget pada kena cacar MONYET!!!",Wong cilik menjerit Pada joget sikok bagi Pada nyanyi selamat ulang taon Semoga nyanyi joget pada kena cacar MONYET,neutral
1583,2022-09-07 02:59:23+00:00,@WatchmenID cacar monyet dong gesss,cacar monyet dong gesss,neutral
1587,2022-09-07 02:38:14+00:00,Lahh kirain ini sinetron zaman dulu wkwkk baru ngeuh pas s enzy bilang cacar monyet kan itu issue saat ini tapi pas liat nuansa sama akting rachel amandanya kek sinetron bgtt,Lahh kirain ini sinetron zaman dulu wkwkk baru ngeuh pas enzy bilang cacar monyet kan itu issue saat ini tapi pas liat nuansa sama akting rachel amandanya kek sinetron bgtt,neutral
1593,2022-09-07 01:27:10+00:00,"sumpah gw biasa aja pas awal2, pas enjet bilang cacar monyet gw ketawa smp pusing😭😭😭 AHAHAHAAH WOI.",sumpah biasa aja pas awal2 pas enjet bilang cacar monyet ketawa smp pusing AHAHAHAAH WOI,neutral
1603,2022-09-06 16:28:26+00:00,"@EvoZihad_64 Awas, jangan keluar rumah dulu. Udah mulai ngerasain gejala cacar monyet kan?",Awas jangan keluar rumah dulu Udah mulai ngerasain gejala cacar monyet kan,neutral
1604,2022-09-06 16:07:14+00:00,"👱‍♂️""dok, tolong jangan kasih tau cewe saya klo saya cacar monyet, malu saya dok""

👨‍⚕️""kenapa malu? inikan penyak- ohh saya ngerti. tenang nanti saya bantu""

(5 menit)

👱‍♀️""dok! gimana kondisi pacar saya?""

👨‍⚕️""maaf mba, tpi pacar mba dinyatakan positif.. cacar harimau""

👱‍♀️...

👱‍♂️...",dok tolong jangan kasih tau cewe saya klo saya cacar monyet malu saya dok kenapa malu inikan penyak ohh saya ngerti tenang nanti saya bantu menit dok gimana kondisi pacar saya maaf mba tpi pacar mba dinyatakan positif cacar harimau,neutral
1605,2022-09-06 16:05:08+00:00,"Disaat dunia sudah mulai dengan isu baru seperti datang wabah cacar monyet, harga minyak dunia melambung tinggi akibat rusia-ukraina, suku bunga acuan bank di dunia yang terus naik, bahkan momogi pun sudah menjadi sangat kecil seperti tingkat harapan hidup Jakarta karena polusi.",Disaat dunia sudah mulai dengan isu baru seperti datang wabah cacar monyet harga minyak dunia melambung tinggi akibat rusia ukraina suku bunga acuan bank dunia yang terus naik bahkan momogi pun sudah menjadi sangat kecil seperti tingkat harapan hidup Jakarta karena polusi,neutral
1608,2022-09-06 15:03:00+00:00,@jarangcucimuka @siHitam1303 itu cacar monyet tapi kebetulan bentuk love aja,itu cacar monyet tapi kebetulan bentuk love aja,positive
1611,2022-09-06 13:57:42+00:00,@Jafnya_ Timbul katanya darurat wabah cacar monyet?,Timbul katanya darurat wabah cacar monyet,neutral
1612,2022-09-06 13:09:03+00:00,@aecstativc lah cacar monyet kan disebabkan oleh liur dkk,lah cacar monyet kan disebabkan oleh liur dkk,neutral
1613,2022-09-06 13:06:17+00:00,"Jangan panik, tetap terapkan perilaku hidup bersih dan sehat, serta mengikuti arahan dan informasi dari pemerintah atau media yang dapat dipertanggung jawabkan terkait perkembangan cacar monyet.",Jangan panik tetap terapkan perilaku hidup bersih dan sehat serta mengikuti arahan dan informasi dari pemerintah atau media yang dapat dipertanggung jawabkan terkait perkembangan cacar monyet,neutral
1614,2022-09-06 13:06:10+00:00,Setelah Covid-19 yang bikin heboh di awal tahun 2020 sekarang ada cacar monyet yang ramai diperbincangkan karena sudah masuk ke Indonesia.,Setelah Covid yang bikin heboh awal tahun 2020 sekarang ada cacar monyet yang ramai diperbincangkan karena sudah masuk Indonesia,neutral
1618,2022-09-06 12:58:40+00:00,"@jaemluvj YAKAN, abisnya namanya cacar monyet 😭",YAKAN abisnya namanya cacar monyet,neutral
1619,2022-09-06 12:53:00+00:00,@aecstativc nnti kena cacar monyet,nnti kena cacar monyet,neutral
1620,2022-09-06 12:22:32+00:00,penyebaran covid dan cacar monyet 👍,penyebaran covid dan cacar monyet,neutral
1621,2022-09-06 12:16:53+00:00,sumpah dulu pas masi kecil tuh aku mikirnya kalo kena cacar monyet itu kita jadi kayak monyet 😔,sumpah dulu pas masi kecil tuh aku mikirnya kalo kena cacar monyet itu kita jadi kayak monyet,neutral
1627,2022-09-06 10:28:53+00:00,"@detikcom pemerintahan dah pengecut bawa2 PPKM, padahal pandemi apaan coba? cacar monyet?",pemerintahan dah pengecut bawa2 PPKM padahal pandemi apaan coba cacar monyet,neutral
1631,2022-09-06 08:09:28+00:00,@doniiferdian cacar monyet pasti,cacar monyet pasti,neutral
1637,2022-09-06 04:27:46+00:00,Cacar Monyet pada Hewan Peliharaan: Gejala hingga Cara Mencegah,Cacar Monyet pada Hewan Peliharaan Gejala hingga Cara Mencegah,neutral
1638,2022-09-06 04:15:09+00:00,@floskrrt km kena cacar monyet,kena cacar monyet,neutral
1639,2022-09-06 04:14:51+00:00,@bukann_aniani @akutuhbebas @Askrlfess Musnahin aja biar kena cacar monyet,aniani Musnahin aja biar kena cacar monyet,neutral
1640,2022-09-06 04:00:24+00:00,@fullmoonfolks Copit tiba-tiba naik nih kalo ga cacar monyet,Copit tiba tiba naik nih kalo cacar monyet,neutral
1644,2022-09-06 03:16:57+00:00,"Selain pembiayaan dari pemerintah, juga bisa dimasukkan dalam daftar pengobatan yang ditanggung oleh Badan Penyelenggara Jaminan Sosial (BPJS).

Kalian di sini sudah terdaftar sebagai peserta BPJS Kesehatan kan?

Sumber @IndonesiaBaikId @KemenkesRI

#CacarMonyet #Monkeypox",Selain pembiayaan dari pemerintah juga bisa dimasukkan dalam daftar pengobatan yang ditanggung oleh Badan Penyelenggara Jaminan Sosial BPJS Kalian sini sudah terdaftar sebagai peserta BPJS Kesehatan kan Sumber CacarMonyet Monkeypox,neutral
1651,2022-09-06 02:06:08+00:00,@fullmoonfolks Cacar monyet apa demo?,Cacar monyet apa demo,neutral
1653,2022-09-06 00:35:27+00:00,"@mboyaaak @Paltiwest Ini dia efek cacar monyet, mau bicara tinggi tapi menjauh dari substansi",Ini dia efek cacar monyet mau bicara tinggi tapi menjauh dari substansi,neutral
1656,2022-09-05 22:35:27+00:00,@bcdfghijk_97 @dbIackbird @senjatanuklir trus enaknya kamu bahas apa sma pasanganmu??? perkembangan kasus cacar monyet kh?,trus enaknya kamu bahas apa sma pasanganmu perkembangan kasus cacar monyet,neutral
1660,2022-09-05 15:33:27+00:00,Kmrn sempet nyeletuk mending kena covid drpd cacar monyet taunya skrg gw covid yaudah cacar monyet nya jgn sampe ya🥲🙏,Kmrn sempet nyeletuk mending kena covid drpd cacar monyet taunya skrg covid yaudah cacar monyet nya jgn sampe,neutral
1663,2022-09-05 14:25:08+00:00,"plsss aku ngeri kena cacar monyet/covid,,, temen2 pd megang sm deketin aku trus klo i tell them to stop dikatain alay 😔👎🏻",plsss aku ngeri kena cacar monyet covid temen2 megang deketin aku trus klo tell them stop dikatain alay,neutral
1665,2022-09-05 13:21:14+00:00,"@dodisob @ArsiPiksi Efek covid eta mah. Ngke nungguan efek cacar monyet, juve bangkrut.",Efek covid eta mah Ngke nungguan efek cacar monyet juve bangkrut,neutral
1666,2022-09-05 12:25:39+00:00,@badmofoelsa kena monyet cacar kali lu ben,kena monyet cacar kali ben,neutral
1668,2022-09-05 11:54:12+00:00,Belum juga selesai pasien covidnya sekarang ada lagi pasien cacar monyet 😵‍💫😅,Belum juga selesai pasien covidnya sekarang ada lagi pasien cacar monyet,neutral
1669,2022-09-05 11:31:23+00:00,"Ravly kontol, mati kena cacar monyet lo anjing. Blokkkkk, mikir pake otak makanya bukan kontal kontol mulu dipikirin yaampun.",Ravly kontol mati kena cacar monyet anjing Blokkkkk mikir pake otak makanya bukan kontal kontol mulu dipikirin yaampun,neutral
1670,2022-09-05 11:22:42+00:00,@jurgenholic - cacar monyet,cacar monyet,neutral
1671,2022-09-05 11:11:34+00:00,"Belom kelar COVID, cacar monyet udah muncul aja🤦‍♀️. Jangan sampe kendor nih kebersihan tangan!🧼 Tapi tenang, Ai Care bareng biodef mau bagi-bagi hadiah nih~🎁",Belom kelar COVID cacar monyet udah muncul aja Jangan sampe kendor nih kebersihan tangan Tapi tenang Care bareng biodef mau bagi bagi hadiah nih,neutral
1672,2022-09-05 11:10:12+00:00,@witsyah Cacar monyet😭🤣,Cacar monyet,neutral
1675,2022-09-05 10:41:08+00:00,"Penyakit Cacar monyet beserta faksin2 nya kalah pamor  dikarenakan BBM naik dan kasus ferdi sambo 
Republik lucu lucu....",Penyakit Cacar monyet beserta faksin2 nya kalah pamor dikarenakan BBM naik dan kasus ferdi sambo Republik lucu lucu,neutral
1676,2022-09-05 10:34:01+00:00,@alhayss_ cacar monyet tuh kaya apa si,cacar monyet tuh kaya apa,neutral
1682,2022-09-05 08:13:16+00:00,@convomf tiati ah tar kena cacar monyet u,tiati tar kena cacar monyet,neutral
1684,2022-09-05 07:31:06+00:00,"Pembicara menyampaikan dua materi, yakni mengenai Cacar Monyet (Monkeypox Disease) dan PHBS (Perilaku Hidup Bersih dan Sehat). (8/10)

#Krida #KridaNusantara #Monkeypox",Pembicara menyampaikan dua materi yakni mengenai Cacar Monyet Monkeypox Disease dan PHBS Perilaku Hidup Bersih dan Sehat Krida KridaNusantara Monkeypox,neutral
1685,2022-09-05 07:31:04+00:00,"Dalam sambutannya, Ketua Pengurus Yayasan Krida Nusantara, Nori Chandrawati Try Sutrisno, S.H. menyatakan bahwa sosialisasi cacar monyet dilakukan sebagai persiapan untuk pesiar bagi kelas XI dan XII. (5/10)

#Krida #KridaNusantara #Monkeypox",Dalam sambutannya Ketua Pengurus Yayasan Krida Nusantara Nori Chandrawati Try Sutrisno menyatakan bahwa sosialisasi cacar monyet dilakukan sebagai persiapan untuk pesiar bagi kelas dan XII Krida KridaNusantara Monkeypox,neutral
1686,2022-09-05 07:31:02+00:00,"Oleh sebab itu, SMA Terpadu Krida Nusantara bekerja sama dengan Rumah Sakit Hermina Arcamanik mengadakan sosialisasi mengenai penyakit cacar monyet (monkeypox disease). (3/10)

#Krida #KridaNusantara #Monkeypox",Oleh sebab itu SMA Terpadu Krida Nusantara bekerja sama dengan Rumah Sakit Hermina Arcamanik mengadakan sosialisasi mengenai penyakit cacar monyet monkeypox disease Krida KridaNusantara Monkeypox,neutral
1687,2022-09-05 07:31:02+00:00,"Akhir-akhir ini, cacar monyet menjadi topik yang banyak diperbincangkan di Indonesia setelah ditemukannya pasien yang mengidap penyakit tersebut, sehingga banyak yang mengkhawatirkan potensi penularannya. (2/10)

#Krida #KridaNusantara #Monkeypox",Akhir akhir ini cacar monyet menjadi topik yang banyak diperbincangkan Indonesia setelah ditemukannya pasien yang mengidap penyakit tersebut sehingga banyak yang mengkhawatirkan potensi penularannya Krida KridaNusantara Monkeypox,neutral
1688,2022-09-05 07:31:01+00:00,"Cacar monyet adalah penyakit yang disebabkan oleh infeksi virus monkeypox. Virus ini awalnya ditemukan di Republik Demokratik Kongo pada tahun 1970. (1/10)

#Krida #KridaNusantara #Monkeypox",Cacar monyet adalah penyakit yang disebabkan oleh infeksi virus monkeypox Virus ini awalnya ditemukan Republik Demokratik Kongo pada tahun 1970 Krida KridaNusantara Monkeypox,neutral
1692,2022-09-05 06:48:17+00:00,"@moonpatted Gue kemarin sm sohib bahas tentang author yg cuma bikin wansyut, besoknya kena cacar monyet",Gue kemarin sohib bahas tentang author cuma bikin wansyut besoknya kena cacar monyet,neutral
1694,2022-09-05 05:58:43+00:00,@cloudynewwiee Gak ribut sehari kayaknya kena cacar monyet mereka,Gak ribut sehari kayaknya kena cacar monyet mereka,neutral
1696,2022-09-05 05:12:58+00:00,@kadalblonde cacar monyet?,cacar monyet,neutral
1698,2022-09-05 05:06:57+00:00,@tiktokjelek gejala awal cacar monyet,gejala awal cacar monyet,neutral
1699,2022-09-05 04:51:58+00:00,@kitxendank Cacar monyet kh mint?,Cacar monyet mint,neutral
1708,2022-09-05 02:35:23+00:00,@mboyaaak @Paltiwest Emang @Paltiwest ada bilang tentang menjamin demo. Baca dulu baru nyerocos. Kadrun kena cacar monyet ya begini hasilnya,Emang ada bilang tentang menjamin demo Baca dulu baru nyerocos Kadrun kena cacar monyet begini hasilnya,neutral
1711,2022-09-05 01:50:02+00:00,@maspiyuaja Yaa elah si Piyu .. Ntar ditangkapin mahasisiwanya .. Kau cuma cengengesan kaya cacar Monyet...,Yaa elah Piyu Ntar ditangkapin mahasisiwanya Kau cuma cengengesan kaya cacar Monyet,neutral
1713,2022-09-05 01:01:11+00:00,@clazeey psti karna cacar monyet,psti karna cacar monyet,neutral
1719,2022-09-04 15:54:34+00:00,@selfoli engga bolee lagi musim cacar monyet,engga bolee lagi musim cacar monyet,neutral
1721,2022-09-04 15:41:26+00:00,@ryancacola @Jiminewtron_ @Kemal_blues Nya cacar nya monyet nya anjg,blues Nya cacar nya monyet nya anjg,neutral
1722,2022-09-04 15:14:31+00:00,@calapho abis ini gejala cacar monyet,abis ini gejala cacar monyet,neutral
1724,2022-09-04 14:57:40+00:00,@tukangmarahdik Cacar monyet 🤭,Cacar monyet,neutral
1728,2022-09-04 14:04:14+00:00,"@uusbustami @DokterTifa Sing sehat soalna maneh kudu booster ka-2 encan fuckcine cacar monyet. Tong waka KIPI nya, dosis masih loba keneh",Sing sehat soalna maneh kudu booster encan fuckcine cacar monyet Tong waka KIPI nya dosis masih loba keneh,neutral
1729,2022-09-04 14:00:38+00:00,@piikkkrii @berak112233 @SiaranBolaLive Penelitian lebih lanjut tai kering bisa menyembuhkan penyakit cacar monyet bang,Penelitian lebih lanjut tai kering bisa menyembuhkan penyakit cacar monyet bang,neutral
1730,2022-09-04 13:59:43+00:00,@pIeasantt Skip. Takut kena cacar monyet.,Skip Takut kena cacar monyet,neutral
1731,2022-09-04 13:12:41+00:00,@aurellie____ KTA GUE MAH CACAR MONYET DAH,KTA GUE MAH CACAR MONYET DAH,neutral
1732,2022-09-04 12:46:38+00:00,"@Askrlfess Gak baca ya, 
Lagi marak kasus hiv pms cacar monyet. 
Inget, Mak bapak lu lagi stres nyari uang buat lu, apa apa sekarang mahal. 
Otak lu cuma isinya hal gitu doang.
Kalo lu kenapa napa yang repot juga orang rumah.
Mikir kek.",Gak baca Lagi marak kasus hiv pms cacar monyet Inget Mak bapak lagi stres nyari uang buat apa apa sekarang mahal Otak cuma isinya hal gitu doang Kalo kenapa napa yang repot juga orang rumah Mikir kek,neutral
1733,2022-09-04 12:31:38+00:00,"@agis_official Kaum tusboll itu kak, ada pelanginya ,,,,hii...ngeri nanti kena cacar monyet",official Kaum tusboll itu kak ada pelanginya hii ngeri nanti kena cacar monyet,neutral
1735,2022-09-04 11:12:18+00:00,@convomfs Cacar monyet kak,Cacar monyet kak,neutral
1736,2022-09-04 10:42:42+00:00,"@rio_oppa @rhisca_restu PELECEHAN
terkontaminasi cacar monyet x covid x hiv",oppa restu PELECEHAN terkontaminasi cacar monyet covid hiv,neutral
1737,2022-09-04 10:35:55+00:00,@tanyakanrl gejala awal cacar monyet begini nih,gejala awal cacar monyet begini nih,neutral
1740,2022-09-04 10:14:54+00:00,Kalau gua ga ikhkas lu kena cacar monyet gimane,Kalau gua ikhkas kena cacar monyet gimane,neutral
1741,2022-09-04 10:08:00+00:00,KEMENKES PESAN 2.000 VAKSIN CACAR MONYET DARI DENMARK,KEMENKES PESAN 000 VAKSIN CACAR MONYET DARI DENMARK,neutral
1742,2022-09-04 09:49:15+00:00,"@monocvrm @8eptemberceria @SeputarTetangga Pohon duriannya memilih childless kak. Sebuah pilihan dijaman skrg dimana harga telur naik, BBM naik, cacar monyet dan pandemi yg tak kunjung usai. 🙏🏻",Pohon duriannya memilih childless kak Sebuah pilihan dijaman skrg dimana harga telur naik BBM naik cacar monyet dan pandemi tak kunjung usai,neutral
1744,2022-09-04 09:22:05+00:00,@Jiminewtron_ @Kemal_blues cacar monyet ajg,blues cacar monyet ajg,neutral
1745,2022-09-04 09:20:17+00:00,@handokotjung Masih worth ga ya beli air purifier sony 5 ini? Ampuh untuk menangkal cacar monyet ga ya? 🙉,Masih worth beli air purifier sony ini Ampuh untuk menangkal cacar monyet,positive
1746,2022-09-04 08:58:52+00:00,"Wah kena ini mah, cacar monyet?",Wah kena ini mah cacar monyet,neutral
1760,2022-09-04 06:11:44+00:00,@chungkook_ Kopid atau cacar monyet Beb 😭😭😭,Kopid atau cacar monyet Beb,neutral
1762,2022-09-04 05:58:34+00:00,@anak_bunda14 Hayo jangan jangan cacar monyet,bunda14 Hayo jangan jangan cacar monyet,neutral
1766,2022-09-04 05:06:49+00:00,"Cakep, harusnya jg utk vaksin cacar monyet , vaksin virus pmk pada hewan💪🇮🇩",Cakep harusnya utk vaksin cacar monyet vaksin virus pmk pada hewan,neutral
1767,2022-09-04 04:53:03+00:00,"@riNa23090034 Benarkah? Serius? Aku akhir-akhir ini jarang denger berita tentang cacar monyet lagi. Aamiin, terima kasih ya doanya",Benarkah Serius Aku akhir akhir ini jarang denger berita tentang cacar monyet lagi Aamiin terima kasih doanya,neutral
1768,2022-09-04 04:44:56+00:00,@aiarayr Musim monyet atau cacar monyet?,Musim monyet atau cacar monyet,neutral
1769,2022-09-04 04:12:50+00:00,@hackriff udh g covid tp ada cacar monyet 🥺 aamin yaaa haha tp y udh g aneh kl d undur terus 🤪,udh covid ada cacar monyet aamin yaaa haha udh aneh undur terus,positive
1770,2022-09-04 04:11:20+00:00,Gk tkut cacar monyet HIV Sifilis Kondiloma akuminata dll kah?,tkut cacar monyet HIV Sifilis Kondiloma akuminata dll kah,neutral
1771,2022-09-04 03:17:56+00:00,@Askrlfess Eh cacar monyet bukan 😭😭,cacar monyet bukan,neutral
1775,2022-09-04 02:19:14+00:00,"@meongcaren Sebenernya uda lumayan banyak yg kena cacar monyet cuma responnya kesehatannya agak kurang gercep, semoga cepet sehat deh ya ka sodaranya",Sebenernya uda lumayan banyak kena cacar monyet cuma responnya kesehatannya agak kurang gercep semoga cepet sehat deh sodaranya,neutral
1776,2022-09-04 01:29:53+00:00,@meongcaren Emang yg kena cacar monyet tinggal daerah mana ka?,Emang kena cacar monyet tinggal daerah mana,neutral
1777,2022-09-04 01:24:44+00:00,"@riNa23090034 Iya. Tapi masih gak percaya. Kalo udah gini, akses pengobatannya gimana ya? kan gak semua RS bisa menangani penderita cacar monyet",Iya Tapi masih gak percaya Kalo udah gini akses pengobatannya gimana kan gak semua bisa menangani penderita cacar monyet,neutral
1780,2022-09-03 22:53:53+00:00,Innalilahi wa innailaihi Raji'un. Kaget banget denger sodaraku kena cacar monyet :(,Innalilahi innailaihi Raji Kaget banget denger sodaraku kena cacar monyet,neutral
1781,2022-09-03 21:48:36+00:00,Masih dihadapkan pada wabah yang menjijikkan: cacar monyet! Vaksinasi tidak berguna,Masih dihadapkan pada wabah yang menjijikkan cacar monyet Vaksinasi tidak berguna,neutral
1782,2022-09-03 19:28:52+00:00,@achierakedzraa Kalo sm lu kayanya cacar monyet,Kalo kayanya cacar monyet,neutral
1783,2022-09-03 17:57:42+00:00,@SiaranBolaLive @Iam_scatman Cacar monyet,scatman Cacar monyet,neutral
1785,2022-09-03 16:15:01+00:00,@MediaKomando Biarin aja Cacar Monyet nyebar..,Biarin aja Cacar Monyet nyebar,neutral
1786,2022-09-03 15:52:29+00:00,@raga_madara Cacar monyet cena nya?,madara Cacar monyet cena nya,neutral
1788,2022-09-03 14:56:30+00:00,@GRACIExEMO Tiati kena cacar MONYET.,Tiati kena cacar MONYET,neutral
1789,2022-09-03 14:50:41+00:00,ANJRIT CACAR MONYET IS REAL,ANJRIT CACAR MONYET REAL,positive
1790,2022-09-03 14:43:29+00:00,@masprass__ @SunKaraSantan Kena cacar monyet iku mas,Kena cacar monyet iku mas,neutral
1793,2022-09-03 13:37:27+00:00,"tmn gua bahas cacar monyet mlu ajg, mentang mentang sodaraan",tmn gua bahas cacar monyet mlu ajg mentang mentang sodaraan,neutral
1796,2022-09-03 13:04:22+00:00,"Siapa Menabur Angin... Dia Menabur Badai...

Bermula dari Covid... Lalu berbagai varian ...Lalu Cacar Monyet... Lalu HIV

Alhamdulillah saya sekeluarga gak Vaksin... Murni... Pure...",Siapa Menabur Angin Dia Menabur Badai Bermula dari Covid Lalu berbagai varian Lalu Cacar Monyet Lalu HIV Alhamdulillah saya sekeluarga gak Vaksin Murni Pure,positive
1797,2022-09-03 12:59:33+00:00,@aLy_Bima BuzzeRp 303  pada Kena Cacar Monyet Tua.,Bima BuzzeRp 303 pada Kena Cacar Monyet Tua,neutral
1798,2022-09-03 12:53:42+00:00,"@rheamaranthine Semoga lu kena CACAR MONYET yah cella.

Amin.",Semoga kena CACAR MONYET yah cella Amin,neutral
1799,2022-09-03 12:23:25+00:00,"💊 — Gejala dan tanda cacar monyet: 

• Sakit kepala 
• Demam akut &gt;38,5oC
• Limfadenopati (pembesaran kelenjar getah bening)
• Nyeri otot/Myalgia
• Sakit punggung
• Asthenia (kelemahan tubuh)
• Lesi cacar (benjolan berisi air ataupun nanah pada seluruh tubuh)",Gejala dan tanda cacar monyet Sakit kepala Demam akut 5oC Limfadenopati pembesaran kelenjar getah bening Nyeri otot Myalgia Sakit punggung Asthenia kelemahan tubuh Lesi cacar benjolan berisi air ataupun nanah pada seluruh tubuh,neutral
1800,2022-09-03 12:23:24+00:00,"🧬 — Pada manusia, gejala cacar monyet mirip dengan gejala cacar air, namun lebih ringan. Dimulai dengan demam, sakit kepala, nyeri otot, dan kelelahan. Perbedaan utama antara gejala cacar air dan cacar monyet adalah bahwa cacar monyet menyebabkan pembengkakan pada kelenjar.",Pada manusia gejala cacar monyet mirip dengan gejala cacar air namun lebih ringan Dimulai dengan demam sakit kepala nyeri otot dan kelelahan Perbedaan utama antara gejala cacar air dan cacar monyet adalah bahwa cacar monyet menyebabkan pembengkakan pada kelenjar,neutral
1801,2022-09-03 12:23:23+00:00,"👥— Cacar monyet ditularkan pula dari manusia ke manusia melalui kontak langsung dengan luka infeksi, koreng, atau cairan tubuh penderita. Penyakit ini juga dapat menyebar melalui droplet pernapasan Ketika melakukan kontak dengan penderita secara berkepanjangan.",Cacar monyet ditularkan pula dari manusia manusia melalui kontak langsung dengan luka infeksi koreng atau cairan tubuh penderita Penyakit ini juga dapat menyebar melalui droplet pernapasan Ketika melakukan kontak dengan penderita secara berkepanjangan,neutral
1802,2022-09-03 12:23:22+00:00,"🦠 — Virus cacar monyet dapat menular ketika seseorang bersentuhan dengan virus dari hewan yang terinfeksi, orang yang terinfeksi, atau bahan yang terkontaminasi virus.Virus cacar monyet dapat menyebar dari hewan ke manusia melalui gigitan atau cakaran hewan yang terinfeksi.",Virus cacar monyet dapat menular ketika seseorang bersentuhan dengan virus dari hewan yang terinfeksi orang yang terinfeksi atau bahan yang terkontaminasi virus Virus cacar monyet dapat menyebar dari hewan manusia melalui gigitan atau cakaran hewan yang terinfeksi,neutral
1803,2022-09-03 12:23:21+00:00,"⏱— Cacar monyet pertama kali ditemukan pada tahun 1958. Pada saat itu ditemukan wabah penyakit mirip cacar yang menyerang koloni monyet yang dipelihara untuk penelitian, hal tersebut yang menyebabkan penyakit ini disebut sebagai cacar monyet atau monkeypox.",Cacar monyet pertama kali ditemukan pada tahun 1958 Pada saat itu ditemukan wabah penyakit mirip cacar yang menyerang koloni monyet yang dipelihara untuk penelitian hal tersebut yang menyebabkan penyakit ini disebut sebagai cacar monyet atau monkeypox,neutral
