,Datetime,clean_text,label
2506,2022-08-29 15:47:13+00:00,hah ini cacar monyet,neutral
2507,2022-08-29 15:41:03+00:00,Ihhh serem bgt asli cacar monyet,neutral
2509,2022-08-29 15:05:20+00:00,Cacar monyet,neutral
2510,2022-08-29 15:00:30+00:00,Tolong dong cacar monyet jangan nyebar lagi Baru lewat satu foto orang kena itu penyakit aja dah bikin merinding apa lagi nanti amit amit kalo nyebar banyak orang,neutral
2512,2022-08-29 14:46:49+00:00,Apakah kalau udah pernah cacar air gabakalan kena cacar monyet Kan mitosnya cacar itu penyakit sekali seumur idup,neutral
2515,2022-08-29 14:38:08+00:00,Virus Cacar Monyet,neutral
2520,2022-08-29 14:29:18+00:00,cacar monyet,neutral
2521,2022-08-29 14:19:09+00:00,Tiap liat foto cacar monyet dan saking parnonya kadang aku berfikir apa bisa menular lewat foto,neutral
2523,2022-08-29 14:02:09+00:00,gmna klo cacar monyet pasti nular,neutral
2525,2022-08-29 13:41:22+00:00,frontline Cacar monyet sigana,neutral
2527,2022-08-29 13:33:20+00:00,Serangan kedua nih cacar monyet,neutral
2528,2022-08-29 13:31:47+00:00,serius ini cacar monyet bentukannya gini Yaallah apalagi ini,neutral
2530,2022-08-29 13:19:31+00:00,ini cacar monyet,neutral
2531,2022-08-29 13:06:59+00:00,Tidak perlu diragukan lagi cacar monyet sekarang sudah masuk dan menyebar Indonesia nih Londoners Tetap patuhi protokol kesehatan dan yang paling penting jaga kesehatan SESI,neutral
2532,2022-08-29 13:05:35+00:00,ngeliat cacar monyet serem males keluar,neutral
2534,2022-08-29 13:01:01+00:00,mujinpark cacar monyet bisa sembuh sendiri asal pasien punya komorbid,neutral
2535,2022-08-29 12:53:51+00:00,kan klo cacar air ntu dalemna air klo cacar monyet dalemna monyet,neutral
2540,2022-08-29 12:33:57+00:00,setelah selesainya kasus fredy sambo akan munculah pandemi baru CACAR MONYET penyebab utama pelaku perjalanan jauh dan wajibkan vaksin sebelum mudik halah basi cok pandemi apa jualan vaksin,neutral
2541,2022-08-29 12:24:26+00:00,cacar monyet,neutral
2545,2022-08-29 11:54:26+00:00,Kena cacar monyet Cacarnya ilang monyetnya tetep,neutral
2546,2022-08-29 11:45:57+00:00,Matt cacar monyet kah,neutral
2549,2022-08-29 11:39:07+00:00,Ini cacar monyet,neutral
2551,2022-08-29 11:08:20+00:00,cacar monyet kali,neutral
2556,2022-08-29 10:23:19+00:00,Itu cacar monyet broo,neutral
2565,2022-08-29 09:37:03+00:00,Waspada Cacar Monyet Sudah Masuk Indonesia Apa Saja Gejala Tanda Utama dan Pencegahannya,neutral
2568,2022-08-29 09:17:50+00:00,cacar monyet serem yak,neutral
2571,2022-08-29 09:13:38+00:00,awas kena cacar monyet,neutral
2578,2022-08-29 08:57:44+00:00,KBRI Washington meminta warga negara Indonesia yang ada Amerika serikat untuk sementara waktu tidak melakukan kontak langsung dengan warga lokal setelah otoritas kesehatan Amerika serikat mengumumkan cacar monyet sebagai ancaman serius bagi kesehatan warganya,neutral
2579,2022-08-29 08:56:24+00:00,Kasus cacar monyet sudah menjadi ancaman serius bagi kesehatan dunia negara dengan jumlah kasus cacar monyet tertinggi dunia saat ini adalah Amerika serikat dengan 000 kasus dan prediksi akan bertambah banyak lagi KBRI Washington minta WNI Amerika waspada,neutral
2580,2022-08-29 08:51:54+00:00,Dubes untuk Amerika serikat membenarkan bahwa saat ini kasus cacar monyet Amerika serikat terus menerus mengalami peningkatan jumlah kasus KBRI Washington meminta WNI untuk menghindari kontak langsung dengan penduduk lokal yang terinfeksi cacar monyet tersebut,neutral
2581,2022-08-29 08:50:48+00:00,Matt inu cacar monyet,neutral
2582,2022-08-29 08:49:36+00:00,Kasus cacar monyet sejumlah negara bagian Amerika serikat kian mengganas membuat otoritas kesehatan negara tersebut kembali mengumumkan keadaan darurat cacar monyet secara nasional KBRI Washington meminta WNI menghindari kontak langsung dengan warga lokal,neutral
2583,2022-08-29 08:47:33+00:00,Kasus penyebaran cacar monyet Amerika serikat kian parah membuat otoritas kesehatan negara tersebut kembali mengumumkan keadaan darurat cacar monyet secara nasional negara tersebut KBRI Washington meminta WNI tidak melakukan kontak langsung dengan warga lokal,neutral
2584,2022-08-29 08:42:21+00:00,Setelah munculnya kasus pertama monkeypox cacar monyet Bandara Soekarno Hatta melakukan penjagaan ketat Pertanyaannya mengapa hal ini tidak disiapkan jauh jauh hari sebelum virus ini datang Baca Habis Covid Terbitlah Monkeypox Saatnya Berbenah,neutral
2587,2022-08-29 08:27:02+00:00,Itu kena cacar monyet Kurang aja ngatain gue monyet Loh malah nyolot iyaa itu cacar monyet tolol Udah ngatain monyet malah ditambah tolol elu itu yang tolol anjing Goblookkk tololl Anjing luuu Dah lahh,neutral
2588,2022-08-29 08:26:19+00:00,Cacar monyet bang,neutral
2593,2022-08-29 07:59:01+00:00,Ini cacar monyet itu Ngeri,neutral
2594,2022-08-29 07:58:31+00:00,Ayo segera melakukan vaksinasi dijamin aman dijamin efektif Indikatornya sesak napas pusing mual2 cacar monyet Aids Pokoknya efektif lah,neutral
2596,2022-08-29 07:45:54+00:00,Pas buka cadar Eeehhh pasien Cacar Monyet,neutral
2604,2022-08-29 07:02:21+00:00,LAPORANREPORTER Pemkab Tangerang sediakan ruang isolasi jika ada pasien cacar monyet Reporter RRI Selengkapnya dengarkan 8FM RRINET amp RRI PlayGo AMD,neutral
2606,2022-08-29 06:33:44+00:00,Ini asli bakal ada vaksin booster sama vaksin cacar monyet nanti Anjir total jadi 5kali vaksin,neutral
2611,2022-08-29 06:25:46+00:00,kok jakarta udah ada cacar monyet sih takut gwah aku bogor sumpah deh DEKET HLEP why the city jakarta already got infected monkeypox scared from the city bogor swear close HLEP,neutral
2619,2022-08-29 05:58:26+00:00,cacar monyet nanti kaya,neutral
2626,2022-08-29 05:11:57+00:00,cacar monyet ohh pantes belom ada antibodi virusnya,neutral
2630,2022-08-29 04:59:42+00:00,tapi cacar monyet penyebarannya bukan dari napas kok,neutral
2636,2022-08-29 04:35:23+00:00,Cacar monyet dari tahun sebenernya udah ada tapi Negara2 Benua Afrika jadi heboh sekarang gara2 masuk Negara Maju klo nggak mah tetep didiemin hati2 aja,neutral
2649,2022-08-29 03:55:52+00:00,Semoga hate komen kena cacar monyet,negative
2656,2022-08-29 03:27:41+00:00,Covid Cacar monyet Sekarang ada lagi Flu Tomat begitulah tersiar kabar dari berita Sudah rupa2 saja ini alam dunya,neutral
2657,2022-08-29 03:25:54+00:00,adek umur dua tahun tbtb bilang ati ati kena cacar monyet pas mamanya mau berangkat kerja wkwkwkwk gara gara dia suka nonton berita,neutral
2658,2022-08-29 03:22:54+00:00,inanews beritaterkini berita beritaviral inanewstv 2022 dailynews Cacarmonyet cacar penyakit healt healthy kesehatan Simak berita lainnya official dan jangan lupa follow media sosial kami untuk berita dan informasi lainnya,positive
2659,2022-08-29 03:22:53+00:00,WHO menyebutkan bahwa kini cacar monyet menjadi keadaan darurat global atau menjadi ancaman yang signifikan bagi kesehatan global Setelah mewabah sejumlah negara kini terkonfirmasi bahwa ada satu pasien Jakarta yang terpapar penyakit tersebut,neutral
2668,2022-08-29 02:30:27+00:00,gara bahas cacar monyet temen trs keinget kalo blm pernah sama sekali kena cacar air dari dulu ditakut temen katanya pasti kena minim sekali seumur hidup bangsat lgsg overthinking,neutral
2674,2022-08-29 02:09:47+00:00,Nah ini beberapa gejala dan antisipasi apabila ditemukan kasus serupa segera laporkan fasilitas kesehatan terdekat yaa diskominfobatam batamsmartcity pemkobatam monkeypox monkeypoxawareness cacarmonyet kasuscacarmonyet infografis,neutral
2677,2022-08-29 02:03:44+00:00,HAHAHAHAHA mak aku cakap ada penyakit cacar monyet,positive
2680,2022-08-29 01:52:01+00:00,jangan plis cacar monyet serem,neutral
2682,2022-08-29 01:33:03+00:00,Tapi cacar monyet ini kenapa beritanya pada diem diem aja malah tambah takut,neutral
2686,2022-08-29 01:11:38+00:00,Kurang mak tambah lagi ada cacar monyet dan balita anak2 kudu ikut vaksin itu biar kena penyakit,neutral
2689,2022-08-29 00:45:08+00:00,Hari ini rata2 ada orang tiap kelasnya sakit cacar Allah lindungi kami semoga bukan cacar monyet,neutral
2690,2022-08-29 00:44:38+00:00,Arsenal Bener lah ngapain aku bohong Cacarnya lebih parah dari cacar biasa Lebih kasihan lah dibilang githu Itu tertular karna kondisi kurang Vit diajak jalan2 kebon binatang trus naik Gajah trus pulang2 demam dan keluar dech cacar serem2 kata dokter Cacar Monyet,neutral
2702,2022-08-28 16:28:37+00:00,Gapernah kena cacar air itu termasuk gampang kena cacar monyet Serem bener,neutral
2703,2022-08-28 16:27:53+00:00,Liat cacar monyet kok ngeri Naudzubillah,neutral
2704,2022-08-28 16:21:54+00:00,cacar monyet udah sampe bla bla bla and uses filter monyet dude you better stop you forgot ucapan adalah doa,positive
2706,2022-08-28 15:58:06+00:00,nanti kena cacar monyet tolol,neutral
2707,2022-08-28 15:54:36+00:00,pingin dugem tapi takut kena cacar monyet,neutral
2709,2022-08-28 15:26:49+00:00,Bisi cacar monyet punya pacar dua mah,neutral
2710,2022-08-28 15:16:06+00:00,Cacar monyet gembira mendengar ini,neutral
2712,2022-08-28 14:37:36+00:00,Awas kena cacar MONYET,neutral
2717,2022-08-28 14:04:27+00:00,semoga pas seventeen indo nnti uda ngga ada namanya cacar monyet khawatir bgt,neutral
2718,2022-08-28 13:58:32+00:00,lah cacar monyet bukan lewat udara juga,neutral
2719,2022-08-28 13:55:49+00:00,anjir wkwkkwk yoi kalo kaga tiba tiba cacar monyet,neutral
2720,2022-08-28 13:47:19+00:00,Cacar monyet gimane dah bentukannya,neutral
2725,2022-08-28 13:22:22+00:00,juta sih skrg tuh masih ada covid dan nambah cacar monyet Serem bgt asli kamar mandi sharing tuh,neutral
2726,2022-08-28 13:20:51+00:00,tiba tiba online ada kasus covid atau antisipasi cacar monyet,neutral
2728,2022-08-28 13:14:00+00:00,cacar monyet,neutral
2729,2022-08-28 13:13:36+00:00,fine jalan sendiri mall sendiri belanja sendiri Tapi gara pandemi jadi ilfil tempat rame kadang pas udah sampe pun langsung abort abort abort Terus sekarang ada wabah cacar monyet aku nggak mau sudah ugly soalnya jgn bikin tambah ugly,negative
2730,2022-08-28 12:59:00+00:00,Kena cacar monyet,neutral
2731,2022-08-28 12:51:44+00:00,klo emang tiba tiba online karena apa antisipasi cacar monyet atau ada kasus covid selama ospek kemarin,neutral
2733,2022-08-28 12:40:22+00:00,mas takutnya cacar monyet mas atau infeksi mending dokter apa lagi kalo dibarengin demam,neutral
2734,2022-08-28 12:30:40+00:00,Kenapa gua bacanya cacar monyet,neutral
2735,2022-08-28 12:22:04+00:00,Cacar monyet bisa nular hewan lain dok Atau hewan lain bisa jadi pembawa cacar monyet itu,neutral
2736,2022-08-28 12:21:57+00:00,Kalo emang cacar monyet berarti gara2 elu ini,neutral
2740,2022-08-28 11:55:37+00:00,cacar monyet kan,neutral
2746,2022-08-28 11:21:08+00:00,ASLI cuy kayak serem mereka tuh udah kena cacar monyet tapi they kyk gak kena cacar monyet anjr KEK MASIH BISA KELUAR RUMAH DENGAN SANTUYY,neutral
2748,2022-08-28 11:06:55+00:00,tolong pasiennya diperhatikan divaksin cacar monyet kalo perlu,neutral
2753,2022-08-28 10:47:51+00:00,Fuckcine dosis1 booster butuh brp slm hidup Brp lama booster melindungimu virus Blm ntar disuruh fuckcine cacar monyet knp sih menjaga mengembangkan imunitas alami dianugrahkan Tuhan sdh pasti TANPA KIPI,neutral
2754,2022-08-28 10:30:26+00:00,Iya kalau cacar biasa gabakal kena lagi tapi kalau cacar monyet tetep bisa kena kalau ketularan Stau safe too,positive
2755,2022-08-28 09:52:18+00:00,Nah misal nanti ada petinggi tolol yang mendaruratkan vaksin cacar munyuk ini sampe adain tastestos sembarangan sbg syarat ini itu moga matinya keplak monyet gentayangan jadi gendruwo,neutral
2756,2022-08-28 09:49:18+00:00,Hah serius Cacar monyet,neutral
2759,2022-08-28 09:35:41+00:00,cacar monyet yang bentuknya mirip muka idon,neutral
2760,2022-08-28 09:34:06+00:00,dengan adanya cacar monyet memungkinkan bakal online lagi guys,neutral
2761,2022-08-28 09:18:47+00:00,prasetiyo Kata Pak Indro coba perhatikan vaks utk cacar monyet dipakai ada tulisan for smallpox trs skrng ada tambahan and monkeypox Pdhl sejak jaman dulu cacar air biasa panas setelah panasnya turun timbul cacar nya Dulu gak panik sekarang dibuat panik,neutral
2762,2022-08-28 09:18:39+00:00,periksao chul Soalnya kemarin kurir kantor juga kayak gini dan emang cacar monyet itu merebak bgt Ndang periksa,neutral
2763,2022-08-28 09:18:21+00:00,Punten cac mon ternyata tidak menyurutkan aipibi untuk oplen,neutral
2766,2022-08-28 08:58:00+00:00,FYI Cacar monyet,neutral
2767,2022-08-28 08:34:34+00:00,Gak papa tapi pake APD lengkap musim penyakit soalnya flu tomat cacar monyet bahayaaa,neutral
2768,2022-08-28 08:33:06+00:00,Hah serius kena cacar MONYET How can maybe cacar api atau yang biasa,neutral
2770,2022-08-28 08:07:35+00:00,Takut kena cacar monyet,neutral
2772,2022-08-28 07:44:07+00:00,Keburu ada cacar monyet amit2 deh semoga sebelum adanya wabah lagi gue udah dapet visa,neutral
2774,2022-08-28 07:31:23+00:00,iya benerr bgt kaya kalau ngejek temennya monyet gausah bawa2 cacar monyet inget apa dulu covid berawal bercandaan,neutral
2775,2022-08-28 07:17:26+00:00,cacar monyet,neutral
2776,2022-08-28 07:16:43+00:00,OMG kayak sering ada rumah klo weekend tapi kok baru tau daerah kampung itu udah kena CACAR MONYET SEMUA SHIT SHIT bahkan kena sekeluarga fishyyy that crepyyyyy SEMOGA JAUHKAN DARI VIRUS PENYAKIT YANG LAIN AMINNNN,negative
2777,2022-08-28 07:15:51+00:00,Untuk diketahui Kementerian Kesehatan mengonfirmasi adanya satu kasus positif cacar monyet pertama Indonesia pada Agustus 2022 lalu Pasien berusia tahun asal Jakarta tersebut sebelumnya memiliki riwayat perjalanan dari luar negeri,neutral
2778,2022-08-28 07:15:49+00:00,Meski demikian Kepala Negara meminta masyarakat untuk tidak panik karena penularan cacar monyet terjadi pada saat pasien sudah bergejala dan melalui kontak fisik dengan pasien,neutral
2781,2022-08-28 07:07:40+00:00,Sejauh ini bagaimana upaya yang harus ditempuh untuk mengobati pasien terjangkit monkeypox Sumonggo simak infografis atas Monkeypox KemenkesRI Cacarmonyet JogjaIstimewa KominfoDIY,neutral
2782,2022-08-28 07:07:39+00:00,Indonesia sendiri melalui Kementerian Kesehatan mengumumkan kasus cacar monyet pertama dikonfirmasi pada Agustus 2022 lalu,neutral
2784,2022-08-28 06:48:04+00:00,cacar monyet cacar monyet ELU MONYET,neutral
2786,2022-08-28 06:34:18+00:00,Lagi geger sama penyakit cacar monyet gua dulu pernah cakar monyet tetangga gua pernah cakar gigit monyet Teman teman gua kaya monyet,neutral
2790,2022-08-28 05:53:09+00:00,Lha itu skrg ada cacar monyet ada kanker serviks disuruh vaksin,neutral
2791,2022-08-28 05:46:42+00:00,tetangga kmren baru sembuh dari cacar monyet setelah minggu sakit nak smp dan kena kaka adik sekaligus,neutral
2794,2022-08-28 04:44:26+00:00,Efek vaxx Pernah liat monyet kena cacar Sistem kekebalan tubuh alami itu sangaaaat simple Tapi diputarbalikkan 180 derajat lalu dibuat rumit dgn istilah2 rumit,neutral
2796,2022-08-28 04:34:06+00:00,semoga semua manusia dijauhi dari cacar monyet dan vaksin 20x,neutral
2806,2022-08-28 03:31:17+00:00,skrg ngetren cacar monyet,neutral
2807,2022-08-28 03:29:43+00:00,cacar monyet kah itu,neutral
2808,2022-08-28 03:27:35+00:00,Punggung gue tiba tiba merah Bunda reaction aduh ade jgn2 ini cacar monyet kamu ngerasanya gmn Klo tb2 muncul kita dokter Pacar reaction yang kenapa ini Nanti aku dikira kdrt nih Why,neutral
2820,2022-08-28 02:32:20+00:00,Entar kalo beneran kena cacar monyet nangis,neutral
2830,2022-08-28 01:06:30+00:00,orang2 kok sama semua waktu ini gue cerita temen soal cacar monyet mereka malah ketawa ahahaha dikiranya jadi kaya monyet sia2 gue hampir sehari main twitter bisa tau semua tentang virus2 ada,positive
2835,2022-08-28 00:02:44+00:00,Nder masker tuh wajib Apalagi sekarang ada cacar monyet Harus kudu pakai masker Karena penyebaran itu virus juga lewat udara yang dihirup manusia,neutral
2838,2022-08-27 22:33:02+00:00,Bisa bisanya gue baru bangun langsung nyari tentang cacar monyet,neutral
2841,2022-08-27 19:33:54+00:00,Virus Cacar monyet reseptornya monyet BUKAN manusia yuk belajar,neutral
2842,2022-08-27 19:06:13+00:00,hiji dei cacar monyet,neutral
2852,2022-08-27 18:11:41+00:00,gamau kena cacar monyet pls aku aja belom pernah kena cacar biasa,neutral
2853,2022-08-27 17:22:10+00:00,tiati cacar monyet,neutral
2855,2022-08-27 17:12:21+00:00,Cacar monyet sama HIV lagi banyak,neutral
2859,2022-08-27 16:19:22+00:00,genit banget sih aku takut ketularan cacar monyet jangan pegang pegang please,neutral
2861,2022-08-27 16:01:37+00:00,Aku ketularan cacar monyet,neutral
2862,2022-08-27 15:58:03+00:00,kalo cacar monyet mau kan kamu monyetnya,neutral
2864,2022-08-27 15:52:05+00:00,kukira aku kena cacar monyet leher ternyata hanya jerawat batu,neutral
2865,2022-08-27 15:11:11+00:00,Kan emang nder noh covid cacar monyet nnti acarin akuu,neutral
2866,2022-08-27 15:07:14+00:00,Monyet bisa kena cacar monyet,neutral
2870,2022-08-27 14:02:40+00:00,alergi anjir masa cacar monyet,neutral
2871,2022-08-27 14:01:53+00:00,temen temen gue ngebercandain cacar monyet terus gue marahin SOALNYA LUCU AJG PADA NTAR KENA BENERAN NANGIS SESEGUKAN,neutral
2872,2022-08-27 14:00:05+00:00,buat jodoh tenang aku aman aku masih suci belum ternodai semoga juga ttp bisa jaga diri zaman cacar monyet ini lopyu,neutral
2874,2022-08-27 13:32:41+00:00,Tar beneran kena cacar monyet loh creatornya Omongan doa,neutral
2876,2022-08-27 13:22:10+00:00,Brainnya orang HAM kena viirus cacar monyet,neutral
2878,2022-08-27 13:17:32+00:00,SUMPAH KESEL BGT lucu bgt anj Pertama kali ada bikin video katanya kosnya udah ada cacar monyet itu taunya cuma filter Stop pls,neutral
2879,2022-08-27 13:15:27+00:00,maaf oot cacar monyet cacar air itu beda apa sama aku liat gmbarnya gugel sama kek cacar air,neutral
2880,2022-08-27 13:08:42+00:00,jadi cacar monyet menularnya ngeri bngt,neutral
2881,2022-08-27 13:07:53+00:00,Cacar monyet flu tomat ntar apa lagi Cocor bebek Kan udah ada,neutral
2882,2022-08-27 13:06:55+00:00,kalo gatel kek gini belum tentu cacar monyet kan,neutral
2883,2022-08-27 13:06:54+00:00,Monyet aja aman2 saja tuh kna cacar manusia,neutral
2885,2022-08-27 12:57:17+00:00,cacar monyet bisa nyebar manusia kah gue kira cacar monyet penyakit khusus monyet,neutral
2887,2022-08-27 12:52:06+00:00,cacar monyet cuk,neutral
2888,2022-08-27 12:51:13+00:00,kemaren mimpi kena cacar monyet jir mana banyak bgt nangis kasian trypophobia,neutral
2889,2022-08-27 12:50:44+00:00,cacar monyet nular pas cipokan,neutral
2890,2022-08-27 12:45:12+00:00,Awas ntar dikasih cacar monyet beneran nangess,neutral
2893,2022-08-27 12:08:22+00:00,Cacar monyet kayaknya,neutral
2900,2022-08-27 11:30:05+00:00,Katanya cacar monyet tida terlalu mematikan tapi bikin jelek,neutral
2901,2022-08-27 11:20:45+00:00,Bukan cacar monyet lagi cacar pejabat korup,neutral
2904,2022-08-27 11:11:50+00:00,positif rame skrng naon nder cacar monyet,neutral
2905,2022-08-27 11:11:28+00:00,Hah Cacar monyet apa hiv,neutral
2906,2022-08-27 11:08:35+00:00,Bukan cacar monyet yang sampai Karawang ntuh emang dia monyetnya udah ada Karawang,neutral
2909,2022-08-27 10:59:27+00:00,Bener iriana harus menjaga jarak demi menghindari hal2 tdk diinginkan begitulah protokol dari pengawal kepresidenan jaman skrg byk penyakit menular juga ssperti cacar monyet dll,neutral
2910,2022-08-27 10:54:08+00:00,Pertengahan Juli sakit demam harus infus vitamin dikira anak kantor kena cacar monyet grgr maksa masuk kantor Akhir Juli dpt kabar bikin drop down hancur seketika Hampir kesrempet bis gede pdhl posisi udah minggir nyalip Sedih tak berkesudahan,negative
2911,2022-08-27 10:45:46+00:00,cacar monyet bisa kucing penyebabnya,neutral
2912,2022-08-27 10:40:31+00:00,indung meni rariweh bikin baju wisuda baju wisuda berikut aku mah malah takut gajadi wisuda offline gegara cacar monyet itu wkwk,neutral
2913,2022-08-27 10:38:59+00:00,Makin luas sebarannya makin banyak cuannya Semoga keluarga para mentri dan jajarannya divaksin lengkap booster hingga hiv cacar monyet,neutral
2914,2022-08-27 10:27:10+00:00,Bocah pea banget gue lagi lemes ini gejala cacar monyet,neutral
2915,2022-08-27 10:21:45+00:00,tiati cacar monyet,neutral
2918,2022-08-27 10:00:19+00:00,sesekali mandi biar kena cacar monyet,neutral
2919,2022-08-27 09:54:49+00:00,You pake filter itu buat lucu2an okay Tapi jangan ngajak cacar monyet nya buat ikut lucu2an juga Bahkan ini buat gua ketawa,positive
2920,2022-08-27 09:53:53+00:00,dewi Vaksin cacar monyet kahh,neutral
2921,2022-08-27 09:45:21+00:00,cacar monyet cacar monyet ELU MONYET,neutral
2923,2022-08-27 09:28:47+00:00,bro cacar monyet aint joke,neutral
2924,2022-08-27 09:23:43+00:00,Anggota Komisi DPR Rahmad Handoyo memberikan tips agar tidak mudah terpapar virus cacar monyet monkey pox yaitu dengan cara berperilaku hidup bersih dan sehat adalah salah satu cara yang efeltif agar tidak mudah terpapar virus cacar monyet,negative
2926,2022-08-27 09:17:35+00:00,Cacar Monyet Masuk Indonesia Pemkot Bandar Lampung Tingkatkan Kewaspadaan,neutral
2931,2022-08-27 08:48:21+00:00,Sebenarnya indonesia udah banyak cacar monyet udah sembuh cacarnya monyetnya belum,neutral
2938,2022-08-27 08:25:36+00:00,Setuju Pas berita cacar monyet keluar banyak yang ketik siap2 aduk dalgona atau kegiatan awal pandemi lainnya kayak kalian pengen cacar monyet banyak kasusnya kah Sumpah padahal mereka udah ngerasain efek pandemi,neutral
2958,2022-08-27 07:20:02+00:00,Dokter soal cacar monyet,neutral
2959,2022-08-27 07:14:19+00:00,Habis cacar monyet cacar Godzila Trus cacar Dajjal,neutral
2965,2022-08-27 06:47:59+00:00,tiati HIV dan cacar monyet,neutral
2966,2022-08-27 06:34:27+00:00,Peter terjangkit cacar monyet,neutral
2967,2022-08-27 06:30:42+00:00,Pernyataan yang mengada ada walaupun emang anak anak rentan kena cacar monyet tetapi harus lihat dari sisi lain jangan jangan cara ini pakai untuk menghancurkan generasi dunia kedepan Usia anak anak remaja dan dewasa jadi target monkey pox dan AIDS,negative
2973,2022-08-27 05:59:02+00:00,Apa urusannya kelahiran 1980 dng Cacar Monyet Narasi Vaksinasi kali ini nampaknya ingin memusnahkan generasi muda,neutral
2974,2022-08-27 05:56:44+00:00,prasetiyo brarti vaksin cacar monyet ini sama saja ngibuli umat manusia lagi pembodohan,neutral
2979,2022-08-27 05:38:15+00:00,Cacar monyet itali namanya apa,neutral
2981,2022-08-27 05:16:46+00:00,cacar monyet cacarnya bentuk monyet,neutral
2987,2022-08-27 04:58:39+00:00,kirain cacar monyet penderitanya bakal mirip monyet,neutral
2988,2022-08-27 04:53:30+00:00,cuma cacar monyet solusinye pak wkwk,neutral
2990,2022-08-27 04:49:15+00:00,cacar monyet itu afh kalau bukan yang anu,neutral
2994,2022-08-27 04:43:07+00:00,Kepikiran soal cacar monyet,neutral
2995,2022-08-27 04:35:50+00:00,cacar monyet yang kek gimana,neutral
2997,2022-08-27 04:31:50+00:00,Ingin tahu informasi menarik seputar kefarmasian lainnya Yuk ikuti Farma Pos media sosial kami OPSIFarmaPos FarmaPosFFUNAIR cacarmonyet monkeypox Tim Clairine Karisma Thea Safriella,neutral
3008,2022-08-27 03:20:31+00:00,Plot twist online krn cacar monyet,neutral
3014,2022-08-27 02:45:43+00:00,cacar monyet bukan,neutral
3016,2022-08-27 02:41:32+00:00,Deiaena Bohong banget Padahal dia duluan fah yang blg gini cacar monyet zur Padahal jelas2 gua bilangnya covid emg dasar kang fitnah cup tampol,neutral
3022,2022-08-27 02:17:32+00:00,Jatim Pastikan Nihil Kasus Cacar Monyet,neutral
3034,2022-08-27 01:18:11+00:00,IYH tapi bukan gegara cacar monyet anjg anak kls kemping diskul gue kls daringin,neutral
3035,2022-08-27 01:06:00+00:00,universe sana cacar monyet booming gak,neutral
3038,2022-08-27 00:51:49+00:00,NS79 Waini anda another buzzer penyesatan info Dokter Indro Cahyono kemarin komentar panjang lebar soal ini Cacar monyet itu cacar air biasa nampaknya sengaja kobar2kan ketakutan warga masyarakat Campaign macam apa pula ini,neutral
3041,2022-08-27 00:37:27+00:00,cacar monyet kop wkowwkow,neutral
3045,2022-08-27 00:20:44+00:00,WKWKWKKW CACAR MONYET,neutral
3047,2022-08-27 00:18:36+00:00,ati ati kena cacar monyet,neutral
3048,2022-08-27 00:18:15+00:00,ganteng ganteng kok jual diri sih mas hati hati kena HIV sama cacar monyet lagi merambah kepada kaum GAy,positive
3049,2022-08-27 00:17:06+00:00,awas kena cacar monyet amp HIV aurat jangan diumbar apalagi jual diri terkesan murahan,neutral
3050,2022-08-27 00:16:20+00:00,GoodJOB pijat ati ati kena cacar monyet amp HIV inget tuhan jangan melanggar perintahnya,neutral
3051,2022-08-27 00:15:22+00:00,mangga awas kena HIV sama cacar monyet masih diberi kesehatan sama allah jangan jual badan terus,neutral
3052,2022-08-27 00:11:30+00:00,awan tobat mas awas kena cacar monyet,neutral
3054,2022-08-26 23:58:02+00:00,Cacar monyet,neutral
3057,2022-08-26 23:30:48+00:00,Cacar monyet,neutral
3058,2022-08-26 23:28:15+00:00,Kita kan jadi bertanya tanya mengapa Pak mengikuti Dasar2 Imunologi vaksin cukup sekali ketika bicara cacar monyet tapi kok mendesakkan buster terus menerus utk kasus Covid Aya naon ieu teh,neutral
3064,2022-08-26 22:40:50+00:00,gum Sterill banget takut ada virus cacar monyet nya,neutral
3070,2022-08-26 21:15:23+00:00,Gak ngerti kalo cacar monyet tuh bisa keliatan fisiknya kan yah kulit Nah beda covid keliatan penyakitnya masa ttp have sex sih sama orang kulitnya budukan gitu Emg gak geli Ihh cowok berdaki aja ilfeel apalagi itu Better run gak sih,positive
3073,2022-08-26 19:42:15+00:00,Matak cikal bakal cacar monyet,neutral
3077,2022-08-26 18:10:46+00:00,Lpas nie bukan alasan covid mgkin alasan kena cacar monyet,neutral
3081,2022-08-26 17:31:41+00:00,Bukan cacar monyet,neutral
3086,2022-08-26 17:16:30+00:00,wah cacar monyet,neutral
3087,2022-08-26 17:15:56+00:00,Jiso kenek cacar monyet,neutral
3097,2022-08-26 16:16:25+00:00,Sangihe AIDS itu bukan penyakit Tapi Virus sama kayak COVID19 Pilek fli dan Cacar Monyet,neutral
3098,2022-08-26 16:14:39+00:00,Sangihe 2030 Target zero AIDS udah berjalan Pengobatannyapun udah berjalan dan pengidap Virunya udah lama hidup normal yang belum itu Stigmanya aja akibat jomplangnya literasi masyarakat kemungkinan AIDS bakal diganti dengan Cacar Monyet penularannyapun sama,positive
3104,2022-08-26 15:22:02+00:00,ntar lagi juga homo kena cacar monyet,neutral
3111,2022-08-26 15:02:20+00:00,Yang belum jompo masih muda segera ambil buster amp cacar monyet Ditunggu jompoanmu Promdis tudiz,neutral
